,TERTIAIRE,INDUSTRIE,AGRICULTURE,INCONNU,departement,year
0,222548.473,288029.218,4832.141,281.71000000000004,01,2019
1,131994.202,240297.349,8665.841,132.207,02,2019
2,133540.232,108694.782,627.615,0.028,03,2019
3,22071.363,53628.788,34.578,0.0,04,2019
4,36685.82,2794.151,219.082,133.211,05,2019
5,1234546.562,175150.729,1344.384,31863.222999999998,06,2019
6,44277.195,67843.548,204.475,0.0,07,2019
7,89126.973,156905.951,1734.116,15806.806,08,2019
8,24520.267,23623.528000000002,18.811,67.928,09,2019
9,145911.765,134065.103,14419.012,89.421,10,2019
10,104644.453,52236.742,978.0169999999999,71.508,11,2019
11,52314.884,15873.546,43.722,0.0,12,2019
12,1255526.014,282236.44,7034.587,1004.58,13,2019
13,261119.863,225862.481,2126.412,14602.396999999999,14,2019
14,42761.72,13747.715,47.992,0.0,15,2019
15,84462.584,31007.23,696.023,2.708,16,2019
16,213142.027,69154.327,6130.145,70.066,17,2019
17,92030.258,64071.333,1312.118,183.867,18,2019
18,62463.679000000004,24466.352,54.518,0.0,19,2019
19,338610.713,209607.722,4851.546,934.511,21,2019
20,157113.124,102708.671,5806.388,78.226,22,2019
21,25340.033,12635.755000000001,156.231,0.0,23,2019
22,72203.127,11759.61,3832.896,0.0,24,2019
23,271853.656,310180.259,2949.488,397.821,25,2019
24,168783.298,137590.414,3545.443,68.663,26,2019
25,113618.402,205108.061,6308.236,88.4,27,2019
26,109848.02100000001,149190.388,23643.539,199.736,28,2019
27,253066.56,96371.408,4845.493,5.851,29,2019
28,199856.601,80751.441,3542.545,36.151,30,2019
29,1178070.169,458941.80199999997,2477.602,14128.037,31,2019
30,27586.085,13860.54,663.3389999999999,848.329,32,2019
31,874520.801,337015.57300000003,41431.762,1149.595,33,2019
32,527140.133,80980.051,2788.407,0.0,34,2019
33,492539.88300000003,291361.255,1931.124,9714.35,35,2019
34,61998.891,135580.902,1470.462,13.534,36,2019
35,302921.444,257345.46000000002,8350.927,180.424,37,2019
36,502276.082,435670.285,2794.932,1443.728,38,2019
37,97729.913,152149.883,1652.609,59.419000000000004,39,2019
38,183508.77,123557.819,21793.132,534.809,40,2019
39,140917.304,170061.836,7576.8949999999995,173.164,41,2019
40,298594.24,369943.089,1074.105,457.99,42,2019
41,41203.867,15327.282,116.645,107.00699999999999,43,2019
42,697459.823,609138.466,10293.781,2215.012,44,2019
43,405179.655,316167.194,15869.84,593.83,45,2019
44,28449.536,15667.581,0.0,109.35,46,2019
45,62292.106999999996,27214.635000000002,376.175,454.85400000000004,47,2019
46,9407.611,1507.613,326.645,0.0,48,2019
47,314317.205,215213.618,8986.342,545.8389999999999,49,2019
48,130340.717,61468.850000000006,7582.814,32.965,50,2019
49,328054.421,296872.521,21522.539,327.319,51,2019
50,53040.007,161297.793,754.013,122.089,52,2019
51,108051.0,172839.915,1457.211,11195.972,53,2019
52,378117.543,183592.79,2190.687,461.193,54,2019
53,74714.372,65171.891,1898.0020000000002,0.0,55,2019
54,174594.255,61980.286,2626.575,111.432,56,2019
